Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Taco Size,Taco Type,Toppings Count,Distance (km),Price ($),Tip ($),Weekend Order,Order Date,Order Hour,Weekday,Weekend,Speed Category,Tip %
770487,El Taco Loco,New York,2024-08-01 14:55:00,2024-08-01 15:36:00,41,Regular,Chicken Taco,5,3.01,9.25,2.22,False,2024-08-01,14,Thursday,False,Slow,24.000000000000004
671858,El Taco Loco,San Antonio,2024-11-23 17:11:00,2024-11-23 17:25:00,14,Regular,Beef Taco,1,6.2,4.25,3.01,True,2024-11-23,17,Saturday,True,Fast,70.8235294117647
688508,Taco Haven,Austin,2024-11-21 20:24:00,2024-11-21 21:02:00,38,Large,Pork Taco,2,20.33,7.0,0.02,False,2024-11-21,20,Thursday,False,Slow,0.2857142857142857
944962,Spicy Taco House,Dallas,2024-09-21 06:43:00,2024-09-21 07:28:00,45,Regular,Chicken Taco,2,3.0,5.5,1.9,True,2024-09-21,6,Saturday,True,Slow,34.54545454545455
476417,Casa del Taco,San Antonio,2024-07-24 11:01:00,2024-07-24 11:16:00,15,Large,Pork Taco,0,24.34,4.5,1.14,False,2024-07-24,11,Wednesday,False,Fast,25.33333333333333
678856,Urban Tacos,San Antonio,2024-10-07 21:21:00,2024-10-07 22:44:00,83,Regular,Beef Taco,0,16.7,3.0,2.32,False,2024-10-07,21,Monday,False,Slow,77.33333333333333
183667,Taco Haven,Los Angeles,2024-10-22 06:03:00,2024-10-22 06:48:00,45,Large,Veggie Taco,1,9.57,5.75,0.63,False,2024-10-22,6,Tuesday,False,Slow,10.956521739130434
379946,El Taco Loco,San Antonio,2025-05-08 04:51:00,2025-05-08 05:22:00,31,Regular,Chicken Taco,3,9.8,6.75,2.97,False,2025-05-08,4,Thursday,False,Slow,44.0
771088,The Taco Stand,Houston,2024-09-08 21:04:00,2024-09-08 21:21:00,17,Regular,Beef Taco,2,10.33,5.5,0.33,True,2024-09-08,21,Sunday,True,Average,6.000000000000001
694731,Casa del Taco,Houston,2025-05-24 02:15:00,2025-05-24 03:28:00,73,Large,Fish Taco,1,6.99,5.75,1.23,True,2025-05-24,2,Saturday,True,Slow,21.391304347826086
688637,The Taco Stand,Phoenix,2025-03-30 01:28:00,2025-03-30 02:32:00,64,Large,Veggie Taco,1,24.93,5.75,0.69,True,2025-03-30,1,Sunday,True,Slow,12.0
617488,El Taco Loco,New York,2024-03-26 04:00:00,2024-03-26 04:29:00,29,Regular,Fish Taco,4,2.06,8.0,1.14,False,2024-03-26,4,Tuesday,False,Average,14.249999999999998
590785,The Taco Stand,Phoenix,2025-03-05 16:52:00,2025-03-05 17:03:00,11,Regular,Pork Taco,2,19.33,5.5,1.02,False,2025-03-05,16,Wednesday,False,Fast,18.545454545454547
407757,Taco Time Express,Chicago,2024-12-18 10:01:00,2024-12-18 10:11:00,10,Large,Pork Taco,1,12.94,5.75,0.32,False,2024-12-18,10,Wednesday,False,Fast,5.565217391304348
755674,Urban Tacos,Austin,2025-04-18 00:01:00,2025-04-18 00:36:00,35,Regular,Veggie Taco,1,13.71,4.25,2.34,False,2025-04-18,0,Friday,False,Slow,55.05882352941176
656116,Taco Fiesta,San Antonio,2024-09-08 18:42:00,2024-09-08 19:54:00,72,Regular,Beef Taco,2,22.03,5.5,4.16,True,2024-09-08,18,Sunday,True,Slow,75.63636363636364
422451,Taco Haven,New York,2024-07-06 02:10:00,2024-07-06 03:32:00,82,Regular,Beef Taco,5,12.41,9.25,0.35,True,2024-07-06,2,Saturday,True,Slow,3.7837837837837833
897549,The Taco Stand,Chicago,2024-04-09 17:23:00,2024-04-09 18:33:00,70,Regular,Veggie Taco,4,21.87,8.0,1.27,False,2024-04-09,17,Tuesday,False,Slow,15.875
322086,The Taco Stand,Houston,2024-08-30 02:48:00,2024-08-30 03:49:00,61,Large,Fish Taco,4,11.56,9.5,0.74,False,2024-08-30,2,Friday,False,Slow,7.7894736842105265
167136,Casa del Taco,New York,2025-04-01 22:52:00,2025-04-02 00:12:00,80,Regular,Pork Taco,1,0.68,4.25,2.12,False,2025-04-01,22,Tuesday,False,Slow,49.88235294117647
